City,DirectWikimediaImageURL
Rameshwaram,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Rameswaram_Morning.jpg/1280px-Rameswaram_Morning.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Lansdowne,EMPTY
Tirupati,EMPTY
Gulmarg,EMPTY
Vizag,EMPTY
Pahalgam,EMPTY
Araku Valley,EMPTY
Sonamarg,EMPTY
Horsley Hills,EMPTY
Tawang,EMPTY
Warangal,EMPTY
Guwahati,EMPTY
Vijayawada,EMPTY
Kohima,EMPTY
Kakinada,EMPTY
Imphal,EMPTY
Rajahmundry,EMPTY
Aizawl,EMPTY
Guntur,EMPTY
Agartala,EMPTY
Nellore,EMPTY
Kalimpong,EMPTY
Anantapur,EMPTY
Pelling,EMPTY
Majuli,EMPTY
Kurnool,EMPTY
Ziro Valley,EMPTY
Srikakulam,EMPTY
Port Blair,EMPTY
Eluru,EMPTY
Havelock Island,EMPTY
Nizamabad,EMPTY
Neil Island,EMPTY
Khammam,EMPTY
Kavaratti,EMPTY
Karimnagar,EMPTY
Bangaram Island,EMPTY
Ramagundam,EMPTY
Nandi Hills,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Sunrise_at_Nandi_Hills.jpg/1280px-Sunrise_at_Nandi_Hills.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Chikmagalur,EMPTY
Mahbubnagar,EMPTY
Bandipur,EMPTY
Nalgonda,EMPTY
Kabini,EMPTY
Adilabad,EMPTY
Badami,EMPTY
Suryapet,EMPTY
Pattadakal,EMPTY
Jabalpur,EMPTY
Kanha National Park,EMPTY
Aihole,EMPTY
Bandhavgarh National Park,EMPTY
Murudeshwar,EMPTY
Pench National Park,EMPTY
Udupi,EMPTY
Mandu,EMPTY
Dandeli,EMPTY
Raipur,EMPTY
Agumbe,EMPTY
Jagdalpur,EMPTY
Yercaud,EMPTY
Bilaspur,EMPTY
Yelagiri,EMPTY
Korba,EMPTY
Valparai,EMPTY
Durg,EMPTY
Chettinad,EMPTY
Cuttack,EMPTY
Gopalpur,EMPTY
Thanjavur,EMPTY
